GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Git Microservice,com.digite.cloud.vcs,GitService,5,3,0,0,2,1,1,1,1,1
Git Microservice,com.digite.cloud.vcs.push,GitExecution.GitExecutionBuilder,4,14,0,0,0,1,1,3,1,3
Git Microservice,com.digite.cloud.vcs.push,GitExecution,0,17,0,0,0,4,0,4,0,4
Git Microservice,com.digite.cloud.vcs.push,GitHandler,33,422,1,9,3,77,3,10,2,6
